## LSP
Hover (LSP) | K
Get code definition (LSP) | gd
Get code reference (LSP)  |  gr
Get code actions (LSP)  |ca

## Null-LS
Format and diagnostics (Null-LS)  | <leader>gf

## telescope
Find files (telescope)  |  <C-p>
Live grep (telescope) | <leader>fg

## neotree
Open Neotree left (Neotree) | <leader>e
Open Neotree git status left (Neotree)  | <leader>gs
Open Neotree buffer (Neotree) | <leader>bf
Open File in new tab | t
Open Neotree diagnostocs (Neotree)  | <leader>db

## window
Horizontal split | <C-w>s
Vertical split | <C-w>v
Next tab | gt
Previous tab  | gT

## terminal
Open Terminal (TermToggle) | <C-\>
Close Terminal (TermToggle) | <leader>tc 
Split Horizontally (TermToggle) | <leader>th
Split Vertically (TermToggle) | <leader>tv
Floating Terminal (TermToggle)  | <leader>tf

## debug
Open debugger / Continue | <C-d>c
Add breakpoint | <C-d>b

## oil
Open Oil File Manager | <leader>-
Go up one dir | -

## GitSign
Line Blame  | <leader>gt
Line Hunk preview(Diff) | <leader>gp

## Comments
Comment line | gc<h,j,k,l>
Comment all line below | gcG
Comment current line | gcc

## Lazygit
Open LazyGit  | <leader>lg

## ToDo
Open TODO List Telescope | <leader>ft

## Venv
Change python VENV | ,v
